name,portion,food_source,calories,protein,carbs,fat,fiber,saturated_fat,trans_fat,monounsaturated_fat,polyunsaturated_fat,sugar,added_sugar,sodium,calcium,iron,magnesium,phosphorus,potassium,zinc,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b6,vitamin_b12,folate,cholesterol,water,caffeine,alcohol,is_favorite,nutritionist_id,external_id,created_at,updated_at
Vaca atolada,100g,TACO,144.9,5.12,10.06,9.32,2.34,,,,,,,25.63,62.66,0.73,15.75,71.77,219.81,1.2,,,,,,,,0.77,,,,18.59,74.95,,,false,,taco_553,,
Vatapá,100g,TACO,254.89,6.0,9.75,23.23,1.7,,,,,,,879.85,46.82,1.44,39.32,108.44,209.41,0.85,,,,,,,,1.8,,,,44.45,58.36,,,false,,taco_554,,
Virado à paulista,100g,TACO,306.95,10.18,14.11,25.59,2.16,,,,,,,345.53,40.71,1.05,21.81,135.49,237.26,1.04,,,,,,0.14,0.05,2.6,,,,65.84,48.59,,,false,,taco_555,,
Yakisoba,100g,TACO,112.8,7.52,18.25,2.61,1.06,,,,,,,793.76,13.95,0.62,13.34,83.03,158.57,0.68,31.0,,,,,0.16,,2.09,,,,,69.38,,,false,,taco_556,,
"Amendoim, grão, cru",100g,TACO,544.05,27.19,20.31,43.85,8.04,,,,,,,,,2.53,170.51,407.2,580.44,3.17,,,,,,0.1,0.03,10.18,0.76,,,,6.43,,,false,,taco_557,,
"Amendoim, torrado, salgado",100g,TACO,605.78,22.48,18.7,53.96,7.76,,,,,,,375.73,39.43,1.33,159.34,260.76,495.67,2.12,,,,,,0.08,,7.47,0.21,,,,1.69,,,false,,taco_558,,
"Ervilha, em vagem",100g,TACO,88.09,7.45,14.23,0.47,9.72,,,,,,,,24.44,1.44,41.76,151.98,310.98,1.23,,12.44,,,,0.27,0.07,1.16,0.06,,,,76.84,,,false,,taco_559,,
"Ervilha, enlatada, drenada",100g,TACO,73.84,4.6,13.44,0.38,5.08,,,,,,,372.11,22.21,1.39,23.19,78.51,147.12,0.88,4.58,,,,,0.07,0.03,,,,,,80.14,,,false,,taco_560,,
"Feijão, carioca, cozido",100g,TACO,76.42,4.78,13.59,0.54,8.51,,,,,,,1.76,26.59,1.29,42.34,86.85,254.62,0.7,,,,,,0.04,,,,,,,80.35,,,false,,taco_561,,
"Feijão, carioca, cru",100g,TACO,329.03,19.98,61.22,1.26,18.42,,,,,,,,122.57,7.99,209.95,385.38,1352.46,2.9,,,,,,0.17,,4.02,0.65,,,,14.0,,,false,,taco_562,,
"Feijão, fradinho, cozido",100g,TACO,78.01,5.09,13.5,0.64,7.47,,,,,,,0.98,17.45,1.06,38.12,84.59,252.98,1.12,,,,,,0.12,,,,,,,80.01,,,false,,taco_563,,
"Feijão, fradinho, cru",100g,TACO,339.16,20.21,61.24,2.37,23.59,,,,,,,10.31,77.52,5.13,178.39,354.51,1082.74,3.88,,,,,,0.14,0.03,,0.26,,,,12.7,,,false,,taco_564,,
"Feijão, jalo, cozido",100g,TACO,92.74,6.14,16.5,0.51,13.87,,,,,,,0.52,29.4,1.92,44.1,121.01,347.72,1.01,,,,,,0.13,,,0.04,,,,75.84,,,false,,taco_565,,
"Feijão, jalo, cru",100g,TACO,327.91,20.1,61.48,0.95,30.32,,,,,,,24.58,97.97,7.03,169.9,427.19,1275.95,3.01,,,,,,0.1,,,0.12,,,,13.53,,,false,,taco_566,,
"Feijão, preto, cozido",100g,TACO,77.03,4.48,14.01,0.54,8.4,,,,,,,1.85,29.0,1.47,40.37,88.03,256.37,0.72,,,,,,0.06,,,0.03,,,,80.22,,,false,,taco_567,,
"Feijão, preto, cru",100g,TACO,323.57,21.34,58.75,1.24,21.83,,,,,,,,110.9,6.46,188.11,471.16,1415.68,2.85,,,,,,0.12,,4.6,0.59,,,,14.88,,,false,,taco_568,,
"Feijão, rajado, cozido",100g,TACO,84.7,5.54,15.27,0.4,9.32,,,,,,,0.69,29.19,1.36,41.71,112.93,314.58,0.92,,,,,,0.09,,,0.04,,,,77.86,,,false,,taco_569,,
"Feijão, rajado, cru",100g,TACO,325.84,17.27,62.93,1.17,24.01,,,,,,,13.65,111.43,18.58,169.9,334.79,1134.54,2.6,,,,,,0.07,0.03,,0.07,,,,14.96,,,false,,taco_570,,
"Feijão, rosinha, cozido",100g,TACO,67.87,4.54,11.82,0.48,4.76,,,,,,,2.08,19.24,1.18,42.96,89.51,240.57,1.3,,,,,,,,3.69,,,,,82.58,,,false,,taco_571,,
"Feijão, rosinha, cru",100g,TACO,336.96,20.92,62.22,1.33,20.63,,,,,,,24.11,67.66,5.32,184.5,393.59,1108.66,3.98,,,,,,0.16,0.03,3.92,,,,,11.95,,,false,,taco_572,,
"Feijão, roxo, cozido",100g,TACO,76.89,5.72,12.91,0.54,11.51,,,,,,,1.46,22.53,1.41,34.39,106.33,268.09,1.01,,,,,,0.15,,,0.03,,,,79.99,,,false,,taco_573,,
"Feijão, roxo, cru",100g,TACO,331.41,22.17,59.99,1.24,33.84,,,,,,,9.76,120.46,6.92,161.94,393.7,1221.4,3.29,,,,,,0.26,,,0.08,,,,12.64,,,false,,taco_574,,
"Grão-de-bico, cru",100g,TACO,354.7,21.23,57.88,5.43,12.36,,,,,,,5.19,114.36,5.38,146.39,342.34,1115.7,3.19,,,,,,0.52,,,0.75,,,,12.29,,,false,,taco_575,,
"Guandu, cru",100g,TACO,344.13,18.96,64.0,2.13,21.31,,,,,,,1.62,129.34,1.94,166.0,269.19,1214.8,2.02,,1.47,,,,1.06,,2.69,0.07,,,,11.45,,,false,,taco_576,,
"Lentilha, cozida",100g,TACO,92.64,6.31,16.3,0.52,7.86,,,,,,,1.18,16.1,1.48,21.65,103.74,219.9,1.13,,,,,,0.03,,,,,,,76.25,,,false,,taco_577,,
"Lentilha, crua",100g,TACO,339.14,23.15,62.0,0.77,16.94,,,,,,,,53.52,7.05,93.53,367.74,886.88,3.49,,,,,,0.11,,5.07,0.42,,,,11.47,,,false,,taco_578,,
"Paçoca, amendoim",100g,TACO,486.93,16.0,52.38,26.08,7.32,,,,,,,166.84,22.48,1.13,100.67,198.5,347.6,1.56,,,,,,,,,1.2,,,,1.8,,,false,,taco_579,,
"Pé-de-moleque, amendoim",100g,TACO,503.19,13.16,54.73,28.05,3.39,,,,,,,16.35,27.11,1.26,107.9,170.71,355.41,1.43,,,,,,0.04,0.03,5.94,0.11,,,,2.91,,,false,,taco_580,,
"Soja, farinha",100g,TACO,403.96,36.03,38.44,14.63,20.18,,,,,,,5.75,206.02,13.06,241.9,539.25,1922.39,4.54,,,,,,0.2,0.04,,0.03,,,,5.75,,,false,,taco_581,,
"Soja, extrato solúvel, natural, fluido",100g,TACO,39.1,2.38,4.28,1.61,0.37,,,,,,,56.53,16.52,0.43,15.45,52.89,121.04,0.28,,,,,,,,,,,,,91.28,,,false,,taco_582,,
"Soja, extrato solúvel, pó",100g,TACO,458.9,35.69,28.48,26.18,7.31,,,,,,,83.47,359.04,7.01,215.62,646.55,1606.8,5.84,,9.21,,,,,0.11,,0.35,,,,4.47,,,false,,taco_583,,
"Soja, queijo (tofu)",100g,TACO,64.49,6.55,2.13,3.95,0.75,,,,,,,1.21,80.76,1.43,38.2,129.52,181.69,0.89,,,,,,0.04,,,0.03,,,,86.65,,,false,,taco_584,,
"Tremoço, cru",100g,TACO,381.28,33.58,43.79,10.34,32.31,,,,,,,3.29,176.75,2.79,121.43,264.68,708.32,4.24,,24.97,,,,0.24,,,0.07,,,,9.69,,,false,,taco_585,,
"Tremoço, em conserva",100g,TACO,120.64,11.11,12.39,3.78,14.44,,,,,,,1808.76,15.54,0.34,3.52,39.72,5.2,0.64,,,,,,,,,,,,,67.68,,,false,,taco_586,,
"Amêndoa, torrada, salgada",100g,TACO,580.75,18.55,29.55,47.32,11.64,,,,,,,278.52,236.7,3.06,222.1,493.06,639.6,2.58,,,,,,0.29,0.16,,,,,,3.11,,,false,,taco_587,,
"Castanha-de-caju, torrada, salgada",100g,TACO,570.17,18.51,29.13,46.28,3.66,,,,,,,125.0,32.59,5.22,236.61,594.22,671.46,4.72,,,,,,0.29,0.05,,0.39,,,,3.46,,,false,,taco_588,,
"Castanha-do-Brasil, crua",100g,TACO,642.96,14.54,15.08,63.46,7.93,,,,,,,0.65,146.34,2.31,365.12,853.28,650.99,4.22,,,,,,0.3,,,0.44,,,,3.52,,,false,,taco_589,,
"Coco, cru",100g,TACO,406.49,3.69,10.4,41.98,5.38,,,,,,,15.32,6.48,1.76,51.46,117.54,354.15,0.94,,2.49,,,,,,,0.03,,,,42.96,,,false,,taco_590,,
"Coco,  verde, cru",100g,TACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,taco_591,,
"Farinha, de mesocarpo de babaçu, crua",100g,TACO,328.77,1.41,79.17,0.2,17.86,,,,,,,12.46,60.95,18.33,39.35,25.56,362.07,0.34,,,,,,,,2.58,,,,,15.82,,,false,,taco_592,,
"Gergelim, semente",100g,TACO,583.55,21.16,21.62,50.43,11.87,,,,,,,2.57,825.45,5.45,360.69,740.71,546.29,5.24,,,,,,0.94,,5.92,0.13,,,,3.86,,,false,,taco_593,,
"Linhaça, semente",100g,TACO,495.1,14.08,43.31,32.25,33.5,,,,,,,8.67,211.5,4.7,346.92,615.18,869.29,4.39,,,,,,0.12,,,0.13,,,,6.68,,,false,,taco_594,,
"Pinhão, cozido",100g,TACO,174.37,2.98,43.92,0.75,15.6,,,,,,,0.86,15.77,0.76,52.97,165.84,727.01,0.83,,27.69,,,,,,,,,,,50.51,,,false,,taco_595,,
"Pupunha, cozida",100g,TACO,218.53,2.52,29.57,12.76,4.25,,,,,,,0.91,27.59,0.52,25.29,48.77,303.36,0.29,437.72,2.18,,,,,0.09,,0.03,,,,54.46,,,false,,taco_596,,
"Noz, crua",100g,TACO,620.06,13.97,18.36,59.36,7.25,,,,,,,4.57,105.31,2.04,152.89,396.28,533.25,2.06,,,,,,0.38,,1.08,0.13,,,,6.24,,,false,,taco_597,,
