name,portion,food_source,calories,protein,carbs,fat,fiber,saturated_fat,trans_fat,monounsaturated_fat,polyunsaturated_fat,sugar,added_sugar,sodium,calcium,iron,magnesium,phosphorus,potassium,zinc,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b6,vitamin_b12,folate,cholesterol,water,caffeine,alcohol,is_favorite,nutritionist_id,external_id,created_at,updated_at
"Milho, amido, cru",100g,TACO,361.37,0.6,87.15,,0.74,,,,,,,8.08,1.06,0.13,3.03,12.6,8.54,0.08,,,,,,,,,,,,,12.18,,,false,,taco_042,,
"Milho, fubá, cru",100g,TACO,353.48,7.21,78.87,1.9,4.71,,,,,,,,2.67,0.85,41.23,107.84,168.33,1.09,13.0,,,,,0.25,,0.75,,,,,11.45,,,false,,taco_043,,
"Milho, verde, cru",100g,TACO,138.17,6.59,28.56,0.61,3.92,,,,,,,1.12,1.61,0.41,32.58,112.7,184.82,0.52,16.0,,,,,0.3,,,0.04,,,,63.54,,,false,,taco_044,,
"Milho, verde, enlatado, drenado",100g,TACO,97.56,3.23,17.14,2.35,4.64,,,,,,,260.35,2.17,0.59,20.38,61.31,162.02,0.5,24.0,1.74,,,,,0.05,3.74,,,,,76.22,,,false,,taco_045,,
"Mingau tradicional, pó",100g,TACO,373.42,0.58,89.34,0.37,0.88,,,,,,,14.86,522.05,41.99,4.28,273.32,,15.21,,,,,,3.41,,19.39,3.11,,,,8.14,,,false,,taco_046,,
"Pamonha, barra para cozimento, pré-cozida",100g,TACO,171.22,2.55,30.68,4.85,2.37,,,,,,,131.99,4.16,0.36,15.35,54.59,125.35,0.42,,,,,,,,,,,,,61.31,,,false,,taco_047,,
"Pão, aveia, forma",100g,TACO,343.09,12.35,59.57,5.69,5.98,,,,,,,605.76,108.69,4.73,56.68,182.2,210.08,1.73,,,,,,0.09,0.03,,0.08,,,,19.92,,,false,,taco_048,,
"Pão, de soja",100g,TACO,308.73,11.34,56.51,3.58,5.71,,,,,,,662.54,90.24,3.33,48.32,153.18,296.35,1.46,,,,,,0.07,0.04,,0.79,,,,26.03,,,false,,taco_049,,
"Pão, glúten, forma",100g,TACO,252.99,11.95,44.12,2.73,2.48,,,,,,,22.05,155.72,5.71,24.24,105.26,64.73,1.28,,,,,,0.04,0.03,,,,,,40.67,,,false,,taco_050,,
"Pão, milho, forma",100g,TACO,292.01,8.3,56.4,3.11,4.3,,,,,,,506.64,77.85,3.04,29.42,110.1,89.02,0.82,,,,,,0.08,,,0.08,,,5.68,30.42,,,false,,taco_051,,
"Pão, trigo, forma, integral",100g,TACO,253.19,9.43,49.94,3.65,6.88,,,,,,,506.1,131.76,2.99,60.43,193.44,162.87,1.59,,,,,,0.08,0.04,,0.15,,,,34.72,,,false,,taco_052,,
"Pão, trigo, francês",100g,TACO,299.81,7.95,58.65,3.1,2.31,,,,,,,647.67,15.75,1.0,25.46,94.74,142.2,0.76,,,,,,0.39,0.67,2.34,0.6,,,,28.48,,,false,,taco_053,,
"Pão, trigo, sovado",100g,TACO,310.96,8.4,61.45,2.84,2.43,,,,,,,430.79,51.62,2.27,22.22,100.66,91.17,2.66,,,,,,0.08,0.04,,0.15,,,16.56,25.76,,,false,,taco_054,,
"Pastel, de carne, cru",100g,TACO,288.7,10.74,42.02,8.79,1.04,,,,,,,1309.27,16.69,1.99,17.7,117.38,165.61,1.66,,,,,,0.06,0.03,1.58,,,,18.2,34.4,,,false,,taco_055,,
"Pastel, de carne, frito",100g,TACO,388.37,10.1,43.77,20.14,0.99,,,,,,,1039.89,12.55,2.51,14.44,90.03,155.64,1.15,,,,,,0.06,0.05,1.83,,,,25.34,22.92,,,false,,taco_056,,
"Pastel, de queijo, cru",100g,TACO,308.47,9.85,45.95,9.63,1.11,,,,,,,984.57,154.7,0.99,15.81,168.12,102.58,0.97,,,,,,0.07,0.03,,,,,14.35,31.28,,,false,,taco_057,,
"Pastel, de queijo, frito",100g,TACO,422.11,8.71,48.13,22.67,0.94,,,,,,,821.38,126.13,1.34,14.74,123.81,123.75,0.76,,,,,,0.09,0.04,,,,,15.38,17.54,,,false,,taco_058,,
"Pastel, massa, crua",100g,TACO,310.2,6.9,57.38,5.48,1.41,,,,,,,1344.2,12.61,1.06,14.43,72.55,166.68,0.61,,,,,,0.15,,,,,,,27.07,,,false,,taco_059,,
"Pastel, massa, frita",100g,TACO,569.67,6.02,49.34,40.86,1.31,,,,,,,1174.67,11.27,1.45,12.74,62.36,142.55,0.52,,,,,,0.16,,,,,,,0.97,,,false,,taco_060,,
"Pipoca, com óleo de soja, sem sal",100g,TACO,448.33,9.93,70.31,15.94,14.34,,,,,,,4.32,2.83,1.16,90.76,225.13,255.96,2.05,,,,,,0.03,0.03,,,,,,2.82,,,false,,taco_061,,
"Polenta, pré-cozida",100g,TACO,102.74,2.29,23.31,0.3,2.4,,,,,,,441.89,1.09,,4.43,16.79,99.64,0.05,,,,,,0.04,,,,,,,72.74,,,false,,taco_062,,
"Torrada, pão francês",100g,TACO,377.42,10.52,74.56,3.3,3.4,,,,,,,829.49,18.74,1.24,31.6,113.92,189.49,0.91,,,,,,0.38,,,,,,,9.05,,,false,,taco_063,,
"Abóbora, cabotian, cozida",100g,TACO,48.04,1.44,10.76,0.73,2.46,,,,,,,1.45,7.63,0.35,9.11,32.59,199.1,0.29,,7.46,,,,0.08,,,0.07,,,,86.35,,,false,,taco_064,,
"Abóbora, cabotian, crua",100g,TACO,38.6,1.75,8.36,0.54,2.17,,,,,,,,17.96,0.37,8.82,25.77,350.56,0.32,223.0,5.09,,,,,,,0.1,,,,88.52,,,false,,taco_065,,
"Abóbora, menina brasileira, crua",100g,TACO,13.61,0.61,3.3,,1.17,,,,,,,,8.74,0.15,4.09,11.62,164.6,,554.0,1.5,,,,0.07,,,0.04,,,,95.69,,,false,,taco_066,,
"Abóbora, moranga, crua",100g,TACO,12.36,0.96,2.67,0.06,1.7,,,,,,,,3.05,,1.85,7.91,124.87,0.07,139.0,9.65,,,,,,,0.06,,,,95.87,,,false,,taco_067,,
"Abóbora, moranga, refogada",100g,TACO,29.0,0.39,5.98,0.8,1.55,,,,,,,3.03,19.08,0.11,7.49,11.65,183.19,0.08,47.67,6.73,,,,0.05,,,0.05,,,,92.46,,,false,,taco_068,,
"Abóbora, pescoço, crua",100g,TACO,24.47,0.67,6.12,0.12,2.3,,,,,,,0.74,8.81,0.28,7.42,31.62,263.88,0.18,,2.09,,,,,,,0.06,,,,92.49,,,false,,taco_069,,
"Abobrinha, italiana, cozida",100g,TACO,15.04,1.12,2.98,0.2,1.59,,,,,,,0.83,16.73,0.16,16.86,22.49,125.88,0.26,,2.13,,,,0.05,,,0.06,,,,95.28,,,false,,taco_070,,
"Abobrinha, italiana, crua",100g,TACO,19.28,1.14,4.29,0.14,1.35,,,,,,,,15.13,0.24,19.95,32.02,253.38,0.17,20.25,6.87,,,,,0.06,,0.03,,,,93.86,,,false,,taco_071,,
"Abobrinha, italiana, refogada",100g,TACO,24.43,1.07,4.19,0.82,1.38,,,,,,,2.21,20.67,0.36,12.67,31.83,193.63,0.27,20.79,7.53,,,,0.04,,,,,,,93.49,,,false,,taco_072,,
"Abobrinha, paulista, crua",100g,TACO,30.81,0.64,7.87,0.14,2.6,,,,,,,0.5,18.67,0.17,9.39,32.75,212.87,0.18,,17.55,,,,,,,0.03,,,,90.85,,,false,,taco_073,,
"Acelga, crua",100g,TACO,20.94,1.44,4.63,0.11,1.12,,,,,,,1.18,42.98,0.27,10.4,40.03,239.82,0.31,,22.55,,,,0.04,,,0.16,,,,93.19,,,false,,taco_074,,
"Agrião, cru",100g,TACO,16.58,2.69,2.25,0.24,2.14,,,,,,,7.46,132.53,3.11,18.16,50.59,217.66,0.72,229.0,60.1,,,,0.11,0.23,1.19,0.09,,,,93.94,,,false,,taco_075,,
"Aipo, cru",100g,TACO,19.09,0.76,4.27,0.07,0.96,,,,,,,9.52,65.22,0.72,8.86,28.05,273.6,0.14,458.0,5.88,,,,,,,0.18,,,,93.83,,,false,,taco_076,,
"Alface, americana, crua",100g,TACO,8.79,0.61,1.75,0.13,1.02,,,,,,,7.31,14.44,0.27,5.74,19.38,136.0,0.23,,10.96,,,,0.03,,,0.04,,,,97.17,,,false,,taco_077,,
"Alface, crespa, crua",100g,TACO,10.68,1.35,1.7,0.16,1.83,,,,,,,3.38,37.98,0.4,10.97,25.81,267.13,0.25,117.0,15.58,,,,0.11,0.12,1.09,,,,,96.09,,,false,,taco_078,,
"Alface, lisa, crua",100g,TACO,13.82,1.69,2.43,0.12,2.33,,,,,,,4.23,27.51,0.61,9.11,26.13,348.71,0.35,184.0,21.39,,,,0.09,0.08,0.75,0.07,,,,95.0,,,false,,taco_079,,
"Alface, roxa, crua",100g,TACO,12.72,0.91,2.49,0.19,2.01,,,,,,,7.12,33.83,2.48,9.31,51.13,308.44,0.23,156.21,13.47,,,,,,,,,,,95.73,,,false,,taco_080,,
"Alfavaca, crua",100g,TACO,29.18,2.66,5.24,0.48,4.14,,,,,,,4.55,258.5,1.26,84.24,49.74,260.72,0.71,,,,,,,0.12,,0.56,,,,90.21,,,false,,taco_081,,
"Alho, cru",100g,TACO,113.13,7.01,23.91,0.22,4.32,,,,,,,5.36,13.56,0.8,21.29,149.09,534.89,0.82,,,,,,0.18,,,0.44,,,,67.55,,,false,,taco_082,,
"Alho-poró, cru",100g,TACO,31.51,1.41,6.88,0.14,2.51,,,,,,,1.76,33.62,0.64,10.69,36.49,224.47,0.24,8.08,14.15,,,,0.06,,0.34,0.08,,,,90.95,,,false,,taco_083,,
"Almeirão, cru",100g,TACO,18.03,1.77,3.34,0.22,2.59,,,,,,,2.35,19.5,0.74,21.11,39.66,369.12,0.29,283.0,1.69,,,,0.1,0.18,0.63,,,,,93.67,,,false,,taco_084,,
"Almeirão, refogado",100g,TACO,65.08,1.7,5.7,4.85,3.43,,,,,,,14.52,63.4,1.55,17.28,30.87,315.36,0.19,,1.47,,,,0.03,0.06,4.03,0.05,,,,86.54,,,false,,taco_085,,
"Batata, baroa, cozida",100g,TACO,80.12,0.85,18.95,0.17,1.76,,,,,,,2.1,11.85,0.42,7.58,29.48,258.33,0.38,,17.1,,,,0.06,,1.98,,,,,79.26,,,false,,taco_086,,
"Batata, baroa, crua",100g,TACO,100.98,1.05,23.98,0.17,2.06,,,,,,,,17.13,0.3,11.99,45.2,505.18,0.2,12.25,7.55,,,,0.05,,,0.12,,,,73.69,,,false,,taco_087,,
"Batata, doce, cozida",100g,TACO,76.76,0.64,18.42,0.09,2.21,,,,,,,2.7,17.15,0.19,11.16,15.39,148.44,0.12,,23.79,,,,0.08,,2.57,0.05,,,,80.42,,,false,,taco_088,,
"Batata, doce, crua",100g,TACO,118.24,1.26,28.2,0.13,2.57,,,,,,,8.77,21.11,0.39,16.89,36.46,340.2,0.2,,16.48,,,,0.06,,,0.1,,,,69.51,,,false,,taco_089,,
"Batata, frita, tipo chips, industrializada",100g,TACO,542.73,5.58,51.22,36.62,2.46,,,,,,,607.4,11.6,0.7,24.24,96.5,1014.33,0.59,,,,,,0.2,,2.61,0.13,,,,2.7,,,false,,taco_090,,
"Batata, inglesa, cozida",100g,TACO,51.59,1.16,11.94,,1.34,,,,,,,2.29,3.52,0.19,5.42,24.34,161.33,0.19,,3.76,,,,0.05,,,0.08,,,,86.36,,,false,,taco_091,,
"Batata, inglesa, crua",100g,TACO,64.37,1.77,14.69,,1.16,,,,,,,,3.55,0.36,14.58,38.54,302.05,0.24,,31.08,,,,0.1,,,0.15,,,,82.87,,,false,,taco_092,,
"Batata, inglesa, frita",100g,TACO,267.16,4.97,35.64,13.11,8.06,,,,,,,1.91,6.28,0.44,14.11,69.67,488.94,0.38,,16.34,,,,0.17,,2.51,0.1,,,,44.12,,,false,,taco_093,,
"Batata, inglesa, sauté",100g,TACO,67.89,1.29,14.09,0.9,1.38,,,,,,,8.18,4.18,0.25,6.46,31.97,199.48,0.21,,,,,,0.07,,1.38,0.09,,,,83.09,,,false,,taco_094,,
"Berinjela, cozida",100g,TACO,18.85,0.68,4.47,0.15,2.52,,,,,,,1.32,10.77,0.22,8.82,15.03,105.48,0.13,,,,,,0.04,,,,,,,94.43,,,false,,taco_095,,
"Berinjela, crua",100g,TACO,19.63,1.22,4.43,0.1,2.87,,,,,,,,9.22,0.25,12.91,20.46,204.55,0.12,12.0,3.01,,,,0.04,0.05,,,,,,93.8,,,false,,taco_096,,
"Beterraba, cozida",100g,TACO,32.15,1.29,7.23,0.09,1.88,,,,,,,22.76,15.26,0.24,16.54,30.13,245.48,0.35,,1.24,,,,0.09,,,,,,,90.57,,,false,,taco_097,,
"Beterraba, crua",100g,TACO,48.83,1.95,11.11,0.09,3.37,,,,,,,9.72,18.11,0.32,24.43,19.39,375.07,0.52,,3.12,,,,0.04,,,0.04,,,,85.98,,,false,,taco_098,,
"Biscoito, polvilho doce",100g,TACO,437.55,1.29,80.54,12.25,1.16,,,,,,,97.8,30.45,1.77,5.84,23.32,53.58,0.14,,,,,,,0.03,,0.07,,,9.38,5.44,,,false,,taco_099,,
"Brócolis, cozido",100g,TACO,24.64,2.13,4.37,0.46,3.42,,,,,,,2.12,50.75,0.54,14.55,33.16,118.54,0.24,,42.0,,,,0.04,0.03,,,,,,92.62,,,false,,taco_100,,
"Brócolis, cru",100g,TACO,25.5,3.64,4.03,0.27,2.88,,,,,,,3.33,85.87,0.61,29.57,78.46,322.11,0.48,139.67,34.28,,,,0.12,0.18,1.39,0.08,,,,91.22,,,false,,taco_101,,
"Cará, cozido",100g,TACO,77.58,1.53,18.85,0.11,2.63,,,,,,,1.01,5.17,0.31,14.84,27.8,203.25,0.24,,,,,,0.12,,,0.12,,,,78.88,,,false,,taco_102,,
"Cará, cru",100g,TACO,95.63,2.28,22.95,0.14,7.27,,,,,,,,3.91,0.21,11.47,34.72,211.67,0.18,,8.79,,,,0.11,,,0.02,,,,73.69,,,false,,taco_103,,
"Caruru, cru",100g,TACO,34.03,3.2,5.97,0.58,4.47,,,,,,,13.66,455.3,4.46,197.44,77.26,278.98,6.03,953.0,5.36,,,,,0.1,,0.11,,,,87.62,,,false,,taco_104,,
"Catalonha, crua",100g,TACO,23.89,1.87,4.75,0.28,2.05,,,,,,,9.39,56.8,3.08,17.3,32.0,411.79,0.48,,7.33,,,,,0.03,1.54,0.36,,,,91.76,,,false,,taco_105,,
"Catalonha, refogada",100g,TACO,63.45,1.95,4.81,4.81,3.65,,,,,,,24.72,63.22,1.18,16.35,35.36,452.28,0.44,425.0,,,,,0.04,,0.6,0.03,,,,87.43,,,false,,taco_106,,
"Cebola, crua",100g,TACO,39.42,1.71,8.85,0.08,2.19,,,,,,,0.6,14.0,0.2,11.92,37.87,176.12,0.17,,4.67,,,,0.04,,,0.14,,,,88.92,,,false,,taco_107,,
"Cebolinha, crua",100g,TACO,19.52,1.87,3.37,0.35,3.55,,,,,,,1.6,79.85,0.65,24.59,26.89,206.44,0.3,67.21,31.78,,,,0.03,0.04,,0.08,,,,93.88,,,false,,taco_108,,
"Cenoura, cozida",100g,TACO,29.86,0.85,6.69,0.22,2.63,,,,,,,7.88,25.62,0.09,14.48,26.74,175.51,0.23,306.0,,,,,0.07,,2.68,0.06,,,,91.66,,,false,,taco_109,,
"Cenoura, crua",100g,TACO,34.14,1.32,7.66,0.17,3.18,,,,,,,3.33,22.54,0.18,11.23,27.85,314.81,0.22,663.0,5.12,,,,,,,0.05,,,,90.08,,,false,,taco_110,,
"Chicória, crua",100g,TACO,13.84,1.14,2.85,0.14,2.2,,,,,,,13.52,44.83,0.45,14.14,13.38,424.9,0.09,,6.54,,,,0.03,0.1,0.68,,,,,95.14,,,false,,taco_111,,
"Chuchu, cozido",100g,TACO,18.54,0.41,4.79,,1.04,,,,,,,1.81,7.83,0.06,6.93,12.8,54.35,0.09,,5.57,,,,0.03,,,,,,,94.56,,,false,,taco_112,,
"Chuchu, cru",100g,TACO,16.98,0.7,4.14,0.06,1.28,,,,,,,,11.51,0.17,7.23,17.74,125.99,0.1,,10.61,,,,,,,,,,,94.84,,,false,,taco_113,,
"Coentro, folhas desidratadas",100g,TACO,309.07,20.88,47.95,10.39,37.29,,,,,,,18.26,783.81,81.43,392.79,388.06,3222.77,4.7,,40.77,,,,0.1,0.11,,0.09,,,,10.63,,,false,,taco_114,,
"Couve, manteiga, crua",100g,TACO,27.06,2.87,4.33,0.55,3.12,,,,,,,6.17,130.87,0.45,34.66,48.67,403.45,0.4,248.0,96.68,,,,0.2,0.31,2.29,0.06,,,,90.9,,,false,,taco_115,,
"Couve, manteiga, refogada",100g,TACO,90.34,1.67,8.71,6.59,5.74,,,,,,,11.45,177.33,0.5,26.2,33.41,314.89,0.19,192.0,76.94,,,,,0.05,,0.07,,,,81.53,,,false,,taco_116,,
"Couve-flor, crua",100g,TACO,22.56,1.91,4.52,0.21,2.35,,,,,,,3.44,17.82,0.53,11.99,57.08,256.01,0.31,1.0,36.05,,,,0.03,0.09,,0.1,,,,92.77,,,false,,taco_117,,
"Couve-flor, cozida",100g,TACO,19.11,1.24,3.88,0.27,2.13,,,,,,,1.79,16.14,0.13,5.44,25.43,80.49,0.26,,23.7,,,,0.04,,,,,,,94.34,,,false,,taco_118,,
"Espinafre, Nova Zelândia, cru",100g,TACO,16.1,2.0,2.57,0.24,2.1,,,,,,,17.09,97.51,0.36,81.64,25.43,336.01,0.27,242.0,2.42,,,,0.1,0.21,,0.06,,,,94.03,,,false,,taco_119,,
"Espinafre, Nova Zelândia, refogado",100g,TACO,67.25,2.72,4.24,5.43,2.52,,,,,,,47.02,112.38,0.65,122.71,33.51,149.23,0.59,311.92,5.27,,,,0.08,0.13,,0.13,,,,86.57,,,false,,taco_120,,
"Farinha, de mandioca, crua",100g,TACO,360.87,1.55,87.9,0.28,6.39,,,,,,,1.02,64.87,1.09,37.0,41.61,340.13,0.39,,,,,,0.14,,,0.04,,,,9.39,,,false,,taco_121,,
"Farinha, de mandioca, torrada",100g,TACO,365.27,1.23,89.19,0.29,6.54,,,,,,,10.31,75.53,1.19,40.01,38.63,327.74,0.36,,,,,,,,,0.81,,,,8.34,,,false,,taco_122,,
"Farinha, de puba",100g,TACO,360.18,1.62,87.29,0.47,4.24,,,,,,,3.61,41.4,1.43,27.49,32.64,337.76,0.34,,,,,,0.09,,,,,,,9.8,,,false,,taco_123,,
"Fécula, de mandioca",100g,TACO,330.85,0.52,81.15,0.28,0.65,,,,,,,2.45,11.89,0.11,3.02,60.38,48.13,,,,,,,0.03,,,,,,,17.77,,,false,,taco_124,,
"Feijão, broto, cru",100g,TACO,38.72,4.17,7.76,0.1,1.97,,,,,,,1.79,14.48,0.82,25.13,74.75,189.22,0.57,,12.0,,,,,0.04,,0.15,,,,87.48,,,false,,taco_125,,
"Inhame, cru",100g,TACO,96.7,2.05,23.23,0.21,1.65,,,,,,,,11.8,0.36,28.76,64.72,567.74,0.3,,5.62,,,,0.08,,,0.11,,,,73.31,,,false,,taco_126,,
"Jiló, cru",100g,TACO,27.37,1.4,6.19,0.22,4.83,,,,,,,,19.97,0.34,20.63,29.02,212.95,0.14,6.33,6.79,,,,0.07,0.04,,,,,,91.63,,,false,,taco_127,,
"Jurubeba, crua",100g,TACO,125.81,4.41,23.06,3.91,23.92,,,,,,,0.77,151.02,0.95,65.32,155.12,619.4,0.63,,13.83,,,,0.13,0.02,,0.2,,,,66.64,,,false,,taco_128,,
"Mandioca, cozida",100g,TACO,125.36,0.57,30.09,0.3,1.56,,,,,,,0.91,18.63,0.07,26.82,22.41,100.36,0.17,,11.07,,,,0.06,,,0.03,,,,68.69,,,false,,taco_129,,
"Mandioca, crua",100g,TACO,151.42,1.13,36.17,0.3,1.88,,,,,,,2.15,15.19,0.27,44.5,29.43,208.06,0.2,,16.53,,,,,,,0.04,,,,61.84,,,false,,taco_130,,
"Mandioca, farofa, temperada",100g,TACO,405.69,2.06,80.3,9.12,7.82,,,,,,,574.51,65.69,1.36,34.34,44.52,201.38,0.17,,,,,,0.1,,,0.15,,,,6.42,,,false,,taco_131,,
"Mandioca, frita",100g,TACO,300.06,1.38,50.25,11.2,1.87,,,,,,,8.94,23.05,0.32,94.87,56.54,176.06,0.44,,,,,,0.05,,,0.04,,,,36.57,,,false,,taco_132,,
"Manjericão, cru",100g,TACO,21.15,1.99,3.64,0.39,3.31,,,,,,,3.89,210.92,0.97,57.81,39.92,251.55,0.46,517.42,2.34,,,,0.06,0.21,0.9,0.06,,,,92.96,,,false,,taco_133,,
"Maxixe, cru",100g,TACO,13.75,1.39,2.73,0.07,2.19,,,,,,,10.99,20.87,0.35,9.61,24.98,327.7,0.18,2.75,9.63,,,,0.06,0.02,,0.04,,,,95.06,,,false,,taco_134,,
"Mostarda, folha, crua",100g,TACO,18.11,2.11,3.24,0.17,1.89,,,,,,,2.88,68.18,1.1,15.62,58.4,363.57,0.28,,38.55,,,,0.05,0.04,,0.05,,,,93.43,,,false,,taco_135,,
"Nhoque, batata, cozido",100g,TACO,180.78,5.86,36.78,1.94,1.78,,,,,,,7.07,11.42,1.65,17.9,68.37,163.7,0.48,,,,,,0.08,,,0.04,,,15.08,54.95,,,false,,taco_136,,
"Nabo, cru",100g,TACO,18.19,1.2,4.15,0.05,2.64,,,,,,,2.46,42.39,0.22,14.6,16.57,279.65,0.19,,9.55,,,,0.07,,,0.03,,,,93.84,,,false,,taco_137,,
"Palmito, juçara, em conserva",100g,TACO,23.2,1.79,4.33,0.4,3.15,,,,,,,513.82,58.29,0.3,33.7,40.26,243.97,0.73,,1.98,,,,0.06,0.04,,,,,,91.37,,,false,,taco_138,,
"Palmito, pupunha, em conserva",100g,TACO,29.43,2.46,5.51,0.45,2.55,,,,,,,562.69,32.44,0.18,25.49,54.96,206.42,0.36,,8.66,,,,0.03,,,,,,,89.44,,,false,,taco_139,,
"Pão, de queijo, assado",100g,TACO,363.08,5.12,34.24,24.57,0.56,,,,,,,773.49,102.49,0.28,8.24,93.74,93.09,0.63,,,,,,0.04,0.1,,0.04,,,67.73,33.74,,,false,,taco_140,,
"Pão, de queijo, cru",100g,TACO,294.54,3.65,38.51,13.99,0.98,,,,,,,404.99,87.56,0.29,6.83,78.84,58.08,0.43,,,,,,,0.08,,,,,63.05,41.84,,,false,,taco_141,,
"Pepino, cru",100g,TACO,9.53,0.87,2.04,,1.12,,,,,,,,9.62,0.15,9.34,12.32,153.69,0.13,1.79,4.99,,,,,0.03,,,,,,96.79,,,false,,taco_142,,
"Pimentão, amarelo, cru",100g,TACO,27.93,1.22,5.96,0.44,1.92,,,,,,,,9.61,0.41,10.9,22.38,221.33,0.15,20.0,201.36,,,,0.04,0.03,,0.06,,,,91.88,,,false,,taco_143,,
"Pimentão, verde, cru",100g,TACO,21.29,1.05,4.89,0.15,2.56,,,,,,,,8.76,0.41,7.79,16.51,174.33,0.14,23.0,100.21,,,,,,,,,,,93.52,,,false,,taco_144,,
"Pimentão, vermelho, cru",100g,TACO,23.28,1.04,5.47,0.15,1.59,,,,,,,,6.37,0.33,11.13,19.96,210.92,0.15,43.0,158.21,,,,0.05,0.06,,0.02,,,,92.9,,,false,,taco_145,,
"Polvilho, doce",100g,TACO,351.23,0.43,86.77,,0.24,,,,,,,1.58,27.41,0.51,4.1,8.38,37.63,,,,,,,,,,,,,,12.58,,,false,,taco_146,,
"Quiabo, cru",100g,TACO,29.94,1.92,6.37,0.3,4.55,,,,,,,0.89,112.16,0.37,49.97,55.83,248.8,0.59,24.65,5.6,,,,0.1,,,0.03,,,,90.58,,,false,,taco_147,,
"Rabanete, cru",100g,TACO,13.74,1.39,2.73,0.07,2.19,,,,,,,10.99,20.87,0.35,9.61,24.98,327.7,0.18,,9.63,,,,0.06,0.02,,0.04,,,,95.06,,,false,,taco_148,,
"Repolho, branco, cru",100g,TACO,17.12,0.88,3.86,0.14,1.89,,,,,,,3.64,34.55,0.15,8.51,14.2,150.09,0.15,3.0,18.72,,,,,0.03,,0.06,,,,94.72,,,false,,taco_149,,
"Repolho, roxo, cru",100g,TACO,30.91,1.91,7.2,0.06,1.97,,,,,,,2.34,43.67,0.52,18.02,57.71,328.07,0.25,,43.2,,,,0.07,,,0.09,,,,90.08,,,false,,taco_150,,
"Repolho, roxo, refogado",100g,TACO,41.77,1.8,7.56,1.24,1.75,,,,,,,3.42,42.59,0.47,17.25,59.38,321.45,0.26,,40.52,,,,0.07,,0.63,0.07,,,,88.7,,,false,,taco_151,,
"Rúcula, crua",100g,TACO,13.13,1.77,2.22,0.11,1.74,,,,,,,9.42,116.56,0.94,17.79,25.17,233.4,0.23,266.38,46.29,,,,0.04,,0.35,,,,,94.82,,,false,,taco_152,,
"Salsa, crua",100g,TACO,33.42,3.26,5.71,0.61,1.85,,,,,,,2.3,179.41,3.18,20.9,49.35,711.3,1.32,871.62,51.69,,,,0.12,0.15,0.72,0.47,,,,88.65,,,false,,taco_153,,
"Seleta de legumes, enlatada",100g,TACO,56.53,3.42,12.67,0.35,3.09,,,,,,,398.14,16.16,1.06,15.61,49.03,122.21,0.53,122.08,,,,,0.03,,3.72,,,,,82.15,,,false,,taco_154,,
"Serralha, crua",100g,TACO,30.4,2.67,4.95,0.74,3.52,,,,,,,19.35,126.02,1.27,29.55,48.26,265.27,1.33,567.0,1.51,,,,,0.11,,0.08,,,,90.25,,,false,,taco_155,,
"Taioba, crua",100g,TACO,34.21,2.9,5.43,0.93,4.45,,,,,,,1.16,141.09,1.91,37.92,52.76,290.32,0.61,580.0,17.94,,,,,0.1,,0.1,,,,89.24,,,false,,taco_156,,
"Tomate, com semente, cru",100g,TACO,15.34,1.1,3.14,0.17,1.17,,,,,,,1.02,6.94,0.24,10.54,20.19,222.39,0.14,27.0,21.21,,,,0.12,,,0.02,,,,95.13,,,false,,taco_157,,
"Tomate, extrato",100g,TACO,60.93,2.43,14.96,0.19,2.8,,,,,,,497.93,29.08,2.09,29.33,47.16,679.91,0.37,83.0,18.01,,,,,,2.42,0.11,,,,79.66,,,false,,taco_158,,
"Tomate, molho industrializado",100g,TACO,38.45,1.38,7.71,0.9,3.12,,,,,,,418.28,11.73,1.58,16.79,27.21,388.19,0.13,38.0,2.71,,,,,,,0.06,,,,88.14,,,false,,taco_159,,
"Tomate, purê",100g,TACO,27.94,1.36,6.89,,1.03,,,,,,,103.93,13.24,1.25,15.44,30.01,308.24,0.33,45.0,5.38,,,,,,1.18,0.07,,,,90.79,,,false,,taco_160,,
"Tomate, salada",100g,TACO,20.55,0.81,5.12,,2.27,,,,,,,5.24,6.95,0.29,9.5,23.38,161.16,0.17,,12.8,,,,0.06,0.04,,0.05,,,,93.63,,,false,,taco_161,,
"Vagem, crua",100g,TACO,24.9,1.79,5.35,0.17,2.38,,,,,,,,41.1,0.43,17.83,27.99,208.2,0.33,16.04,1.15,,,,,0.08,,,,,,92.17,,,false,,taco_162,,
"Abacate, cru",100g,TACO,96.15,1.24,6.03,8.4,6.31,,,,,,,,7.92,0.21,14.68,21.95,206.26,0.22,,8.66,,,,,0.04,,,,,,83.79,,,false,,taco_163,,
"Abacaxi, cru",100g,TACO,48.32,0.86,12.33,0.12,0.99,,,,,,,,22.43,0.26,18.44,12.78,131.34,0.14,,34.62,,,,0.17,0.02,,,,,,86.32,,,false,,taco_164,,
"Abacaxi, polpa, congelada",100g,TACO,30.59,0.47,7.8,0.11,0.33,,,,,,,1.24,13.54,0.36,10.07,7.63,106.68,0.06,1.13,1.25,,,,0.05,,,,,,,91.29,,,false,,taco_165,,
"Abiu, cru",100g,TACO,62.42,0.83,14.93,0.7,1.7,,,,,,,,5.78,0.16,9.3,20.29,128.34,0.1,,10.28,,,,,0.04,,0.05,,,,83.14,,,false,,taco_166,,
